noisy_romaji	kanji	clean_romaji	typo_distance	romaji_style	is_partial	partial_len	tokenized	language_segments	has_en_words
d	電車	d	0	hepburn	1	1	d電車		0
e	電車	d	1	hepburn	1	1	e電車		0
d	電車	d	2	hepburn	1	1	d電車		0
x	電車	d	3	hepburn	1	1	x電車		0
de	電車	de	0	hepburn	1	2	de電車		0
xe	電車	de	1	hepburn	1	2	xe電車		0
de	電車	de	2	hepburn	1	2	de電車		0
wsd	電車	de	3	hepburn	1	2	wsd電車		0
densya	電車	densya	0	kunrei	0	0	densya電車		0
denya	電車	densya	1	kunrei	0	0	denya電車		0
denusa	電車	densya	2	kunrei	0	0	denusa電車		0
densyw	電車	densya	3	kunrei	0	0	densyw電車		0
dens	電車	dens	0	kunrei	1	4	dens電車		0
denzs	電車	dens	1	kunrei	1	4	denzs電車		0
demw	電車	dens	2	kunrei	1	4	demw電車		0
xnsw	電車	dens	3	kunrei	1	4	xnsw電車		0
densya	電車	densya	0	kunrei	1	6	densya電車		0
densta	電車	densya	1	kunrei	1	6	densta電車		0
ddnsyq	電車	densya	2	kunrei	1	6	ddnsyq電車		0
drwnsyw	電車	densya	3	kunrei	1	6	drwnsyw電車		0
densya	電車	densya	0	waapuro	0	0	densya電車		0
densay	電車	densya	1	waapuro	0	0	densay電車		0
densys	電車	densya	2	waapuro	0	0	densys電車		0
wemsya	電車	densya	3	waapuro	0	0	wemsya電車		0
den	電車	den	0	waapuro	1	3	den電車		0
dn	電車	den	1	waapuro	1	3	dn電車		0
edhn	電車	den	2	waapuro	1	3	edhn電車		0
denb	電車	den	3	waapuro	1	3	denb電車		0
dens	電車	dens	0	waapuro	1	4	dens電車		0
dnes	電車	dens	1	waapuro	1	4	dnes電車		0
den	電車	dens	2	waapuro	1	4	den電車		0
cs	電車	dens	3	waapuro	1	4	cs電車		0
okure	遅れ	okure	0	hepburn	0	0	okure遅れ		0
oure	遅れ	okure	1	hepburn	0	0	oure遅れ		0
ojiure	遅れ	okure	2	hepburn	0	0	ojiure遅れ		0
ouord	遅れ	okure	3	hepburn	0	0	ouord遅れ		0
okure	遅れ	okure	0	hepburn	1	5	okure遅れ		0
oukre	遅れ	okure	1	hepburn	1	5	oukre遅れ		0
okir	遅れ	okure	2	hepburn	1	5	okir遅れ		0
okurre	遅れ	okure	3	hepburn	1	5	okurre遅れ		0
oku	遅れ	oku	0	hepburn	1	3	oku遅れ		0
ouk	遅れ	oku	1	hepburn	1	3	ouk遅れ		0
okhu	遅れ	oku	2	hepburn	1	3	okhu遅れ		0
kolk	遅れ	oku	3	hepburn	1	3	kolk遅れ		0
okure	遅れ	okure	0	kunrei	0	0	okure遅れ		0
okutre	遅れ	okure	1	kunrei	0	0	okutre遅れ		0
ooude	遅れ	okure	2	kunrei	0	0	ooude遅れ		0
ikues	遅れ	okure	3	kunrei	0	0	ikues遅れ		0
ok	遅れ	ok	0	kunrei	1	2	ok遅れ		0
k	遅れ	ok	1	kunrei	1	2	k遅れ		0
oio	遅れ	ok	2	kunrei	1	2	oio遅れ		0
	遅れ	ok	3	kunrei	1	2	遅れ		0
okur	遅れ	okur	0	kunrei	1	4	okur遅れ		0
our	遅れ	okur	1	kunrei	1	4	our遅れ		0
okuur	遅れ	okur	2	kunrei	1	4	okuur遅れ		0
okufxd	遅れ	okur	3	kunrei	1	4	okufxd遅れ		0
okure	遅れ	okure	0	waapuro	0	0	okure遅れ		0
okire	遅れ	okure	1	waapuro	0	0	okire遅れ		0
ure	遅れ	okure	2	waapuro	0	0	ure遅れ		0
ork	遅れ	okure	3	waapuro	0	0	ork遅れ		0
okure	遅れ	okure	0	waapuro	1	5	okure遅れ		0
ojkure	遅れ	okure	1	waapuro	1	5	ojkure遅れ		0
kkurwe	遅れ	okure	2	waapuro	1	5	kkurwe遅れ		0
kyure	遅れ	okure	3	waapuro	1	5	kyure遅れ		0
oku	遅れ	oku	0	waapuro	1	3	oku遅れ		0
ou	遅れ	oku	1	waapuro	1	3	ou遅れ		0
u	遅れ	oku	2	waapuro	1	3	u遅れ		0
uj	遅れ	oku	3	waapuro	1	3	uj遅れ		0
tomodachi	友達	tomodachi	0	hepburn	0	0	tomodachi友達		0
tomidachi	友達	tomodachi	1	hepburn	0	0	tomidachi友達		0
tomdzchi	友達	tomodachi	2	hepburn	0	0	tomdzchi友達		0
yokdachi	友達	tomodachi	3	hepburn	0	0	yokdachi友達		0
tomodach	友達	tomodach	0	hepburn	1	8	tomodach友達		0
timodach	友達	tomodach	1	hepburn	1	8	timodach友達		0
tomlocdach	友達	tomodach	2	hepburn	1	8	tomlocdach友達		0
tookdachj	友達	tomodach	3	hepburn	1	8	tookdachj友達		0
tomodac	友達	tomodac	0	hepburn	1	7	tomodac友達		0
toomdac	友達	tomodac	1	hepburn	1	7	toomdac友達		0
toomda	友達	tomodac	2	hepburn	1	7	toomda友達		0
tlmkodac	友達	tomodac	3	hepburn	1	7	tlmkodac友達		0
tomodati	友達	tomodati	0	kunrei	0	0	tomodati友達		0
tomoati	友達	tomodati	1	kunrei	0	0	tomoati友達		0
tonmodatui	友達	tomodati	2	kunrei	0	0	tonmodatui友達		0
fomotdi	友達	tomodati	3	kunrei	0	0	fomotdi友達		0
t	友達	t	0	kunrei	1	1	t友達		0
r	友達	t	1	kunrei	1	1	r友達		0
h	友達	t	2	kunrei	1	1	h友達		0
	友達	t	3	kunrei	1	1	友達		0
tom	友達	tom	0	kunrei	1	3	tom友達		0
rtom	友達	tom	1	kunrei	1	3	rtom友達		0
tjm	友達	tom	2	kunrei	1	3	tjm友達		0
rm	友達	tom	3	kunrei	1	3	rm友達		0
tomodati	友達	tomodati	0	waapuro	0	0	tomodati友達		0
tomodait	友達	tomodati	1	waapuro	0	0	tomodait友達		0
tomdoat	友達	tomodati	2	waapuro	0	0	tomdoat友達		0
tomodari	友達	tomodati	3	waapuro	0	0	tomodari友達		0
tomod	友達	tomod	0	waapuro	1	5	tomod友達		0
tomkd	友達	tomod	1	waapuro	1	5	tomkd友達		0
fgtomod	友達	tomod	2	waapuro	1	5	fgtomod友達		0
mod	友達	tomod	3	waapuro	1	5	mod友達		0
tomoda	友達	tomoda	0	waapuro	1	6	tomoda友達		0
tomda	友達	tomoda	1	waapuro	1	6	tomda友達		0
toomd	友達	tomoda	2	waapuro	1	6	toomd友達		0
otmoqad	友達	tomoda	3	waapuro	1	6	otmoqad友達		0
issho	一緒	issho	0	hepburn	0	0	issho一緒		0
sisho	一緒	issho	1	hepburn	0	0	sisho一緒		0
ishop	一緒	issho	2	hepburn	0	0	ishop一緒		0
sasho	一緒	issho	3	hepburn	0	0	sasho一緒		0
iss	一緒	iss	0	hepburn	1	3	iss一緒		0
kiss	一緒	iss	1	hepburn	1	3	kiss一緒		0
wsis	一緒	iss	2	hepburn	1	3	wsis一緒		0
oxz	一緒	iss	3	hepburn	1	3	oxz一緒		0
issh	一緒	issh	0	hepburn	1	4	issh一緒		0
issh	一緒	issh	1	hepburn	1	4	issh一緒		0
ujssh	一緒	issh	2	hepburn	1	4	ujssh一緒		0
ssyb	一緒	issh	3	hepburn	1	4	ssyb一緒		0
issyo	一緒	issyo	0	kunrei	0	0	issyo一緒		0
issyo	一緒	issyo	1	kunrei	0	0	issyo一緒		0
syo	一緒	issyo	2	kunrei	0	0	syo一緒		0
idaylo	一緒	issyo	3	kunrei	0	0	idaylo一緒		0
issyo	一緒	issyo	0	kunrei	1	5	issyo一緒		0
ssyo	一緒	issyo	1	kunrei	1	5	ssyo一緒		0
jissoy	一緒	issyo	2	kunrei	1	5	jissoy一緒		0
isyso	一緒	issyo	3	kunrei	1	5	isyso一緒		0
is	一緒	is	0	kunrei	1	2	is一緒		0
si	一緒	is	1	kunrei	1	2	si一緒		0
idsx	一緒	is	2	kunrei	1	2	idsx一緒		0
isaa	一緒	is	3	kunrei	1	2	isaa一緒		0
issyo	一緒	issyo	0	waapuro	0	0	issyo一緒		0
kissyo	一緒	issyo	1	waapuro	0	0	kissyo一緒		0
iseyok	一緒	issyo	2	waapuro	0	0	iseyok一緒		0
wsyo	一緒	issyo	3	waapuro	0	0	wsyo一緒		0
i	一緒	i	0	waapuro	1	1	i一緒		0
o	一緒	i	1	waapuro	1	1	o一緒		0
	一緒	i	2	waapuro	1	1	一緒		0
x	一緒	i	3	waapuro	1	1	x一緒		0
issyo	一緒	issyo	0	waapuro	1	5	issyo一緒		0
issyok	一緒	issyo	1	waapuro	1	5	issyok一緒		0
iseso	一緒	issyo	2	waapuro	1	5	iseso一緒		0
iswxsoy	一緒	issyo	3	waapuro	1	5	iswxsoy一緒		0
ryokou	旅行	ryokou	0	hepburn	0	0	ryokou旅行		0
ryoku	旅行	ryokou	1	hepburn	0	0	ryoku旅行		0
rykkou	旅行	ryokou	2	hepburn	0	0	rykkou旅行		0
roykl	旅行	ryokou	3	hepburn	0	0	roykl旅行		0
ryok	旅行	ryok	0	hepburn	1	4	ryok旅行		0
ryko	旅行	ryok	1	hepburn	1	4	ryko旅行		0
yrol	旅行	ryok	2	hepburn	1	4	yrol旅行		0
rylp	旅行	ryok	3	hepburn	1	4	rylp旅行		0
ry	旅行	ry	0	hepburn	1	2	ry旅行		0
r	旅行	ry	1	hepburn	1	2	r旅行		0
t	旅行	ry	2	hepburn	1	2	t旅行		0
gd	旅行	ry	3	hepburn	1	2	gd旅行		0
ryokou	旅行	ryokou	0	kunrei	0	0	ryokou旅行		0
ryokpou	旅行	ryokou	1	kunrei	0	0	ryokpou旅行		0
trokou	旅行	ryokou	2	kunrei	0	0	trokou旅行		0
rgykokoy	旅行	ryokou	3	kunrei	0	0	rgykokoy旅行		0
r	旅行	r	0	kunrei	1	1	r旅行		0
rf	旅行	r	1	kunrei	1	1	rf旅行		0
f	旅行	r	2	kunrei	1	1	f旅行		0
w	旅行	r	3	kunrei	1	1	w旅行		0
ryok	旅行	ryok	0	kunrei	1	4	ryok旅行		0
ryik	旅行	ryok	1	kunrei	1	4	ryik旅行		0
ryo	旅行	ryok	2	kunrei	1	4	ryo旅行		0
fyki	旅行	ryok	3	kunrei	1	4	fyki旅行		0
ryokou	旅行	ryokou	0	waapuro	0	0	ryokou旅行		0
yokou	旅行	ryokou	1	waapuro	0	0	yokou旅行		0
ryokou	旅行	ryokou	2	waapuro	0	0	ryokou旅行		0
rykopou	旅行	ryokou	3	waapuro	0	0	rykopou旅行		0
ryoko	旅行	ryoko	0	waapuro	1	5	ryoko旅行		0
ruoko	旅行	ryoko	1	waapuro	1	5	ruoko旅行		0
ryokolo	旅行	ryoko	2	waapuro	1	5	ryokolo旅行		0
trykok	旅行	ryoko	3	waapuro	1	5	trykok旅行		0
ryok	旅行	ryok	0	waapuro	1	4	ryok旅行		0
royk	旅行	ryok	1	waapuro	1	4	royk旅行		0
rioyk	旅行	ryok	2	waapuro	1	4	rioyk旅行		0
yrkoi	旅行	ryok	3	waapuro	1	4	yrkoi旅行		0
iki	行き	iki	0	hepburn	0	0	iki行き		0
ikk	行き	iki	1	hepburn	0	0	ikk行き		0
ik	行き	iki	2	hepburn	0	0	ik行き		0
oik	行き	iki	3	hepburn	0	0	oik行き		0
i	行き	i	0	hepburn	1	1	i行き		0
	行き	i	1	hepburn	1	1	行き		0
jh	行き	i	2	hepburn	1	1	jh行き		0
qa	行き	i	3	hepburn	1	1	qa行き		0
ik	行き	ik	0	hepburn	1	2	ik行き		0
jik	行き	ik	1	hepburn	1	2	jik行き		0
k	行き	ik	2	hepburn	1	2	k行き		0
mk	行き	ik	3	hepburn	1	2	mk行き		0
iki	行き	iki	0	kunrei	0	0	iki行き		0
iko	行き	iki	1	kunrei	0	0	iko行き		0
oiik	行き	iki	2	kunrei	0	0	oiik行き		0
ijkj	行き	iki	3	kunrei	0	0	ijkj行き		0
i	行き	i	0	kunrei	1	1	i行き		0
j	行き	i	1	kunrei	1	1	j行き		0
q	行き	i	2	kunrei	1	1	q行き		0
wq	行き	i	3	kunrei	1	1	wq行き		0
ik	行き	ik	0	kunrei	1	2	ik行き		0
io	行き	ik	1	kunrei	1	2	io行き		0
ik	行き	ik	2	kunrei	1	2	ik行き		0
pki	行き	ik	3	kunrei	1	2	pki行き		0
iki	行き	iki	0	waapuro	0	0	iki行き		0
oki	行き	iki	1	waapuro	0	0	oki行き		0
ii	行き	iki	2	waapuro	0	0	ii行き		0
j	行き	iki	3	waapuro	0	0	j行き		0
i	行き	i	0	waapuro	1	1	i行き		0
k	行き	i	1	waapuro	1	1	k行き		0
w	行き	i	2	waapuro	1	1	w行き		0
po	行き	i	3	waapuro	1	1	po行き		0
iki	行き	iki	0	waapuro	1	3	iki行き		0
kii	行き	iki	1	waapuro	1	3	kii行き		0
iu	行き	iki	2	waapuro	1	3	iu行き		0
koiku	行き	iki	3	waapuro	1	3	koiku行き		0
shuumatsu	週末	shuumatsu	0	hepburn	0	0	shuumatsu週末		0
sbuumatsu	週末	shuumatsu	1	hepburn	0	0	sbuumatsu週末		0
eshuumatwsu	週末	shuumatsu	2	hepburn	0	0	eshuumatwsu週末		0
shmuuatdu	週末	shuumatsu	3	hepburn	0	0	shmuuatdu週末		0
shuu	週末	shuu	0	hepburn	1	4	shuu週末		0
shuuh	週末	shuu	1	hepburn	1	4	shuuh週末		0
snjuu	週末	shuu	2	hepburn	1	4	snjuu週末		0
shu	週末	shuu	3	hepburn	1	4	shu週末		0
shuum	週末	shuum	0	hepburn	1	5	shuum週末		0
huum	週末	shuum	1	hepburn	1	5	huum週末		0
suuhm	週末	shuum	2	hepburn	1	5	suuhm週末		0
shum	週末	shuum	3	hepburn	1	5	shum週末		0
syuumatu	週末	syuumatu	0	kunrei	0	0	syuumatu週末		0
suyumatu	週末	syuumatu	1	kunrei	0	0	suyumatu週末		0
yuumartu	週末	syuumatu	2	kunrei	0	0	yuumartu週末		0
syuaru	週末	syuumatu	3	kunrei	0	0	syuaru週末		0
syuumat	週末	syuumat	0	kunrei	1	7	syuumat週末		0
syiumat	週末	syuumat	1	kunrei	1	7	syiumat週末		0
syuumar	週末	syuumat	2	kunrei	1	7	syuumar週末		0
syuumwwagt	週末	syuumat	3	kunrei	1	7	syuumwwagt週末		0
sy	週末	sy	0	kunrei	1	2	sy週末		0
ys	週末	sy	1	kunrei	1	2	ys週末		0
yw	週末	sy	2	kunrei	1	2	yw週末		0
qu	週末	sy	3	kunrei	1	2	qu週末		0
syuumatu	週末	syuumatu	0	waapuro	0	0	syuumatu週末		0
syuumatuj	週末	syuumatu	1	waapuro	0	0	syuumatuj週末		0
syuumau	週末	syuumatu	2	waapuro	0	0	syuumau週末		0
syuhjtu	週末	syuumatu	3	waapuro	0	0	syuhjtu週末		0
syuu	週末	syuu	0	waapuro	1	4	syuu週末		0
suyu	週末	syuu	1	waapuro	1	4	suyu週末		0
zsyu	週末	syuu	2	waapuro	1	4	zsyu週末		0
sgyujj	週末	syuu	3	waapuro	1	4	sgyujj週末		0
syu	週末	syu	0	waapuro	1	3	syu週末		0
su	週末	syu	1	waapuro	1	3	su週末		0
yus	週末	syu	2	waapuro	1	3	yus週末		0
xsuh	週末	syu	3	waapuro	1	3	xsuh週末		0
tosho	図書	tosho	0	hepburn	0	0	tosho図書		0
tozho	図書	tosho	1	hepburn	0	0	tozho図書		0
tsoh	図書	tosho	2	hepburn	0	0	tsoh図書		0
ohsp	図書	tosho	3	hepburn	0	0	ohsp図書		0
tos	図書	tos	0	hepburn	1	3	tos図書		0
ts	図書	tos	1	hepburn	1	3	ts図書		0
tow	図書	tos	2	hepburn	1	3	tow図書		0
ti	図書	tos	3	hepburn	1	3	ti図書		0
tosh	図書	tosh	0	hepburn	1	4	tosh図書		0
gtosh	図書	tosh	1	hepburn	1	4	gtosh図書		0
toh	図書	tosh	2	hepburn	1	4	toh図書		0
ths	図書	tosh	3	hepburn	1	4	ths図書		0
tosyo	図書	tosyo	0	kunrei	0	0	tosyo図書		0
tsyo	図書	tosyo	1	kunrei	0	0	tsyo図書		0
txoyo	図書	tosyo	2	kunrei	0	0	txoyo図書		0
fioyso	図書	tosyo	3	kunrei	0	0	fioyso図書		0
tosy	図書	tosy	0	kunrei	1	4	tosy図書		0
tosg	図書	tosy	1	kunrei	1	4	tosg図書		0
tsh	図書	tosy	2	kunrei	1	4	tsh図書		0
tsof	図書	tosy	3	kunrei	1	4	tsof図書		0
t	図書	t	0	kunrei	1	1	t図書		0
	図書	t	1	kunrei	1	1	図書		0
t	図書	t	2	kunrei	1	1	t図書		0
tyf	図書	t	3	kunrei	1	1	tyf図書		0
tosyo	図書	tosyo	0	waapuro	0	0	tosyo図書		0
tksyo	図書	tosyo	1	waapuro	0	0	tksyo図書		0
tksho	図書	tosyo	2	waapuro	0	0	tksho図書		0
oyeo	図書	tosyo	3	waapuro	0	0	oyeo図書		0
tosy	図書	tosy	0	waapuro	1	4	tosy図書		0
toys	図書	tosy	1	waapuro	1	4	toys図書		0
tpsh	図書	tosy	2	waapuro	1	4	tpsh図書		0
os	図書	tosy	3	waapuro	1	4	os図書		0
tos	図書	tos	0	waapuro	1	3	tos図書		0
yos	図書	tos	1	waapuro	1	3	yos図書		0
towse	図書	tos	2	waapuro	1	3	towse図書		0
igts	図書	tos	3	waapuro	1	3	igts図書		0
kan	館	kan	0	hepburn	0	0	kan館		0
jan	館	kan	1	hepburn	0	0	jan館		0
maj	館	kan	2	hepburn	0	0	maj館		0
lza	館	kan	3	hepburn	0	0	lza館		0
kan	館	kan	0	hepburn	1	3	kan館		0
jkan	館	kan	1	hepburn	1	3	jkan館		0
kj	館	kan	2	hepburn	1	3	kj館		0
ajnm	館	kan	3	hepburn	1	3	ajnm館		0
ka	館	ka	0	hepburn	1	2	ka館		0
kz	館	ka	1	hepburn	1	2	kz館		0
w	館	ka	2	hepburn	1	2	w館		0
lk	館	ka	3	hepburn	1	2	lk館		0
kan	館	kan	0	kunrei	0	0	kan館		0
kwn	館	kan	1	kunrei	0	0	kwn館		0
na	館	kan	2	kunrei	0	0	na館		0
lika	館	kan	3	kunrei	0	0	lika館		0
kan	館	kan	0	kunrei	1	3	kan館		0
kah	館	kan	1	kunrei	1	3	kah館		0
n	館	kan	2	kunrei	1	3	n館		0
kjah	館	kan	3	kunrei	1	3	kjah館		0
k	館	k	0	kunrei	1	1	k館		0
	館	k	1	kunrei	1	1	館		0
	館	k	2	kunrei	1	1	館		0
oi	館	k	3	kunrei	1	1	oi館		0
kan	館	kan	0	waapuro	0	0	kan館		0
ka	館	kan	1	waapuro	0	0	ka館		0
kjna	館	kan	2	waapuro	0	0	kjna館		0
won	館	kan	3	waapuro	0	0	won館		0
k	館	k	0	waapuro	1	1	k館		0
ko	館	k	1	waapuro	1	1	ko館		0
ki	館	k	2	waapuro	1	1	ki館		0
s	館	k	3	waapuro	1	1	s館		0
ka	館	ka	0	waapuro	1	2	ka館		0
ma	館	ka	1	waapuro	1	2	ma館		0
w	館	ka	2	waapuro	1	2	w館		0
wj	館	ka	3	waapuro	1	2	wj館		0
benkyou	勉強	benkyou	0	hepburn	0	0	benkyou勉強		0
benkyo	勉強	benkyou	1	hepburn	0	0	benkyo勉強		0
bwnkyu	勉強	benkyou	2	hepburn	0	0	bwnkyu勉強		0
hsnktyou	勉強	benkyou	3	hepburn	0	0	hsnktyou勉強		0
ben	勉強	ben	0	hepburn	1	3	ben勉強		0
bne	勉強	ben	1	hepburn	1	3	bne勉強		0
b	勉強	ben	2	hepburn	1	3	b勉強		0
d	勉強	ben	3	hepburn	1	3	d勉強		0
benk	勉強	benk	0	hepburn	1	4	benk勉強		0
enk	勉強	benk	1	hepburn	1	4	enk勉強		0
gnek	勉強	benk	2	hepburn	1	4	gnek勉強		0
boe	勉強	benk	3	hepburn	1	4	boe勉強		0
benkyou	勉強	benkyou	0	kunrei	0	0	benkyou勉強		0
bsenkyou	勉強	benkyou	1	kunrei	0	0	bsenkyou勉強		0
bekylu	勉強	benkyou	2	kunrei	0	0	bekylu勉強		0
bneokyu	勉強	benkyou	3	kunrei	0	0	bneokyu勉強		0
benk	勉強	benk	0	kunrei	1	4	benk勉強		0
bsnk	勉強	benk	1	kunrei	1	4	bsnk勉強		0
benm	勉強	benk	2	kunrei	1	4	benm勉強		0
b	勉強	benk	3	kunrei	1	4	b勉強		0
benkyou	勉強	benkyou	0	kunrei	1	7	benkyou勉強		0
benkyoyu	勉強	benkyou	1	kunrei	1	7	benkyoyu勉強		0
enkyuo	勉強	benkyou	2	kunrei	1	7	enkyuo勉強		0
ebnkyiuo	勉強	benkyou	3	kunrei	1	7	ebnkyiuo勉強		0
benkyou	勉強	benkyou	0	waapuro	0	0	benkyou勉強		0
ebnkyou	勉強	benkyou	1	waapuro	0	0	ebnkyou勉強		0
hbenkyo	勉強	benkyou	2	waapuro	0	0	hbenkyo勉強		0
enkuyuo	勉強	benkyou	3	waapuro	0	0	enkuyuo勉強		0
ben	勉強	ben	0	waapuro	1	3	ben勉強		0
bebn	勉強	ben	1	waapuro	1	3	bebn勉強		0
dben	勉強	ben	2	waapuro	1	3	dben勉強		0
sben	勉強	ben	3	waapuro	1	3	sben勉強		0
b	勉強	b	0	waapuro	1	1	b勉強		0
g	勉強	b	1	waapuro	1	1	g勉強		0
v	勉強	b	2	waapuro	1	1	v勉強		0
w	勉強	b	3	waapuro	1	1	w勉強		0
natsu	夏	natsu	0	hepburn	0	0	natsu夏		0
natsuj	夏	natsu	1	hepburn	0	0	natsuj夏		0
natjs	夏	natsu	2	hepburn	0	0	natjs夏		0
natdsh	夏	natsu	3	hepburn	0	0	natdsh夏		0
nats	夏	nats	0	hepburn	1	4	nats夏		0
ants	夏	nats	1	hepburn	1	4	ants夏		0
nwayts	夏	nats	2	hepburn	1	4	nwayts夏		0
nazatd	夏	nats	3	hepburn	1	4	nazatd夏		0
natsu	夏	natsu	0	hepburn	1	5	natsu夏		0
natus	夏	natsu	1	hepburn	1	5	natus夏		0
ntsau	夏	natsu	2	hepburn	1	5	ntsau夏		0
nas	夏	natsu	3	hepburn	1	5	nas夏		0
natu	夏	natu	0	kunrei	0	0	natu夏		0
ntu	夏	natu	1	kunrei	0	0	ntu夏		0
nt	夏	natu	2	kunrei	0	0	nt夏		0
sau	夏	natu	3	kunrei	0	0	sau夏		0
natu	夏	natu	0	kunrei	1	4	natu夏		0
nwtu	夏	natu	1	kunrei	1	4	nwtu夏		0
anu	夏	natu	2	kunrei	1	4	anu夏		0
mtu	夏	natu	3	kunrei	1	4	mtu夏		0
nat	夏	nat	0	kunrei	1	3	nat夏		0
nt	夏	nat	1	kunrei	1	3	nt夏		0
bnaf	夏	nat	2	kunrei	1	3	bnaf夏		0
btr	夏	nat	3	kunrei	1	3	btr夏		0
natu	夏	natu	0	waapuro	0	0	natu夏		0
jnatu	夏	natu	1	waapuro	0	0	jnatu夏		0
nadrtu	夏	natu	2	waapuro	0	0	nadrtu夏		0
tua	夏	natu	3	waapuro	0	0	tua夏		0
n	夏	n	0	waapuro	1	1	n夏		0
h	夏	n	1	waapuro	1	1	h夏		0
nmn	夏	n	2	waapuro	1	1	nmn夏		0
s	夏	n	3	waapuro	1	1	s夏		0
natu	夏	natu	0	waapuro	1	4	natu夏		0
matu	夏	natu	1	waapuro	1	4	matu夏		0
nayt	夏	natu	2	waapuro	1	4	nayt夏		0
ant	夏	natu	3	waapuro	1	4	ant夏		0
umi	海	umi	0	hepburn	0	0	umi海		0
ui	海	umi	1	hepburn	0	0	ui海		0
iumo	海	umi	2	hepburn	0	0	iumo海		0
umjk	海	umi	3	hepburn	0	0	umjk海		0
umi	海	umi	0	hepburn	1	3	umi海		0
uki	海	umi	1	hepburn	1	3	uki海		0
umn	海	umi	2	hepburn	1	3	umn海		0
nio	海	umi	3	hepburn	1	3	nio海		0
u	海	u	0	hepburn	1	1	u海		0
i	海	u	1	hepburn	1	1	i海		0
w	海	u	2	hepburn	1	1	w海		0
	海	u	3	hepburn	1	1	海		0
umi	海	umi	0	kunrei	0	0	umi海		0
unmi	海	umi	1	kunrei	0	0	unmi海		0
mi	海	umi	2	kunrei	0	0	mi海		0
hun	海	umi	3	kunrei	0	0	hun海		0
umi	海	umi	0	kunrei	1	3	umi海		0
uim	海	umi	1	kunrei	1	3	uim海		0
u	海	umi	2	kunrei	1	3	u海		0
muik	海	umi	3	kunrei	1	3	muik海		0
um	海	um	0	kunrei	1	2	um海		0
m	海	um	1	kunrei	1	2	m海		0
hun	海	um	2	kunrei	1	2	hun海		0
nm	海	um	3	kunrei	1	2	nm海		0
umi	海	umi	0	waapuro	0	0	umi海		0
mui	海	umi	1	waapuro	0	0	mui海		0
um	海	umi	2	waapuro	0	0	um海		0
hkm	海	umi	3	waapuro	0	0	hkm海		0
umi	海	umi	0	waapuro	1	3	umi海		0
umij	海	umi	1	waapuro	1	3	umij海		0
im	海	umi	2	waapuro	1	3	im海		0
unki	海	umi	3	waapuro	1	3	unki海		0
um	海	um	0	waapuro	1	2	um海		0
jum	海	um	1	waapuro	1	2	jum海		0
um	海	um	2	waapuro	1	2	um海		0
num	海	um	3	waapuro	1	2	num海		0
oyogi	泳ぎ	oyogi	0	hepburn	0	0	oyogi泳ぎ		0
oygi	泳ぎ	oyogi	1	hepburn	0	0	oygi泳ぎ		0
yoig	泳ぎ	oyogi	2	hepburn	0	0	yoig泳ぎ		0
ooif	泳ぎ	oyogi	3	hepburn	0	0	ooif泳ぎ		0
o	泳ぎ	o	0	hepburn	1	1	o泳ぎ		0
l	泳ぎ	o	1	hepburn	1	1	l泳ぎ		0
okl	泳ぎ	o	2	hepburn	1	1	okl泳ぎ		0
i	泳ぎ	o	3	hepburn	1	1	i泳ぎ		0
oyogi	泳ぎ	oyogi	0	hepburn	1	5	oyogi泳ぎ		0
oyovi	泳ぎ	oyogi	1	hepburn	1	5	oyovi泳ぎ		0
lygi	泳ぎ	oyogi	2	hepburn	1	5	lygi泳ぎ		0
oyobi	泳ぎ	oyogi	3	hepburn	1	5	oyobi泳ぎ		0
oyogi	泳ぎ	oyogi	0	kunrei	0	0	oyogi泳ぎ		0
oygoi	泳ぎ	oyogi	1	kunrei	0	0	oygoi泳ぎ		0
yooig	泳ぎ	oyogi	2	kunrei	0	0	yooig泳ぎ		0
otpgk	泳ぎ	oyogi	3	kunrei	0	0	otpgk泳ぎ		0
oyo	泳ぎ	oyo	0	kunrei	1	3	oyo泳ぎ		0
yoo	泳ぎ	oyo	1	kunrei	1	3	yoo泳ぎ		0
iy	泳ぎ	oyo	2	kunrei	1	3	iy泳ぎ		0
op	泳ぎ	oyo	3	kunrei	1	3	op泳ぎ		0
o	泳ぎ	o	0	kunrei	1	1	o泳ぎ		0
ok	泳ぎ	o	1	kunrei	1	1	ok泳ぎ		0
	泳ぎ	o	2	kunrei	1	1	泳ぎ		0
i	泳ぎ	o	3	kunrei	1	1	i泳ぎ		0
oyogi	泳ぎ	oyogi	0	waapuro	0	0	oyogi泳ぎ		0
oyogu	泳ぎ	oyogi	1	waapuro	0	0	oyogu泳ぎ		0
ygoi	泳ぎ	oyogi	2	waapuro	0	0	ygoi泳ぎ		0
oouhi	泳ぎ	oyogi	3	waapuro	0	0	oouhi泳ぎ		0
oyogi	泳ぎ	oyogi	0	waapuro	1	5	oyogi泳ぎ		0
oyogji	泳ぎ	oyogi	1	waapuro	1	5	oyogji泳ぎ		0
pohyogi	泳ぎ	oyogi	2	waapuro	1	5	pohyogi泳ぎ		0
ooyiv	泳ぎ	oyogi	3	waapuro	1	5	ooyiv泳ぎ		0
o	泳ぎ	o	0	waapuro	1	1	o泳ぎ		0
io	泳ぎ	o	1	waapuro	1	1	io泳ぎ		0
op	泳ぎ	o	2	waapuro	1	1	op泳ぎ		0
jo	泳ぎ	o	3	waapuro	1	1	jo泳ぎ		0
fuyu	冬	fuyu	0	hepburn	0	0	fuyu冬		0
